uid,x,y,name_jp,name_en,attribute,obj_name_en,obj_attributes,category,categories,importance,category_pin,contents,memo_jp,memo_en,updated_at,link_url_jp,link_url_en,marker_display_style
p_1775182950,1020.2715762454978,2419.8210635507075,SSショモン号の残骸,SS Chaumont Shipwreck,POI,POI,,場所・エリア・スポット,"[{""cat_id"": ""SITE"", ""category"": ""場所・エリア・スポット"", ""cat_name_en"": ""Site"", ""item_id"": ""SHIPWRECK"", ""item_name_jp"": ""沈没船"", ""item_name_en"": ""Shipwreck"", ""qty"": ""1"", ""attributes"": {}}]",3,POI,,,,2026-04-14T18:33:32,,,
p_1775186092,978.7598086092077,2648.191633104913,サンタクララ号の残骸,Santa Clara Shipwreck,POI,POI,,場所・エリア・スポット,"[{""cat_id"": ""SITE"", ""category"": ""場所・エリア・スポット"", ""cat_name_en"": ""Site"", ""item_id"": ""SHIPWRECK"", ""item_name_jp"": ""沈没船"", ""item_name_en"": ""Shipwreck"", ""qty"": ""1"", ""attributes"": {}}]",3,POI,,,,2026-04-14T18:33:35,,,
p_1775186114,941.4302884606377,2825.6904148692183,スプリットロック洞窟,Split Rock Cave,POI,POI,,地形,"[{""cat_id"": ""TERRAIN"", ""category"": ""地形"", ""cat_name_en"": ""Terrain"", ""item_id"": ""CAVE"", ""item_name_jp"": ""洞窟"", ""item_name_en"": ""Cave"", ""qty"": ""1"", ""attributes"": {}}]",3,POI,,,,2026-04-14T18:33:51,,,
p_1775269250,1345.977757988593,2512.1736168605066,,,DEPLOYABLES,Deployables,,武器コンテナ,"[{""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""WEAPON_CASE"", ""item_name_jp"": ""ウェポンケース"", ""item_name_en"": ""Weapon Case"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true}}]",3,DEPLOYABLES,,建物内と裏手の墓場に各1つ。,One inside the building and one in the graveyard behind it.,2026-04-14T18:35:50,,,
p_1775284988,1331.482683032526,2513.996892050317,聖アベラード教会,St. Abelard's Church,POI,POI,,建物,"[{""cat_id"": ""BUILDING"", ""category"": ""建物"", ""cat_name_en"": ""Building"", ""item_id"": ""CHURCH"", ""item_name_jp"": ""教会"", ""item_name_en"": ""Church"", ""qty"": """", ""item_qty"": ""1"", ""attributes"": {}}]",3,POI,,,,2026-04-11T19:07:08,,,
p_1775381799,1419.2960077636842,2724.448141767253,,,DEPLOYABLES,Deployables,,ツールコンテナ,"[{""cat_id"": ""TOOL_CONTAINER"", ""category"": ""ツールコンテナ"", ""cat_name_en"": ""Tool Container"", ""item_id"": ""STEEL_TOOL_SHELF"", ""item_name_jp"": ""スチール製ツールシェルフ"", ""item_name_en"": ""Steel Tool Shelf"", ""qty"": ""1"", ""attributes"": {}}]",5,DEPLOYABLES,,南東の作業場。最上位ツールの探索スポット。,Southeast Workshop. High-end tools loot spot.,2026-04-13T15:12:19,,,
p_1775381812,1355.5254867427748,2676.7542226843884,,,DEPLOYABLES,Deployables,,ツールコンテナ,"[{""cat_id"": ""TOOL_CONTAINER"", ""category"": ""ツールコンテナ"", ""cat_name_en"": ""Tool Container"", ""item_id"": ""STEEL_TOOL_SHELF"", ""item_name_jp"": ""スチール製ツールシェルフ"", ""item_name_en"": ""Steel Tool Shelf"", ""qty"": ""1"", ""attributes"": {}}]",5,DEPLOYABLES,,北西の倉庫。最上位ツールの漁りスポット。,Northwest Warehouse. High-end tool spawn location.,2026-04-13T15:12:23,,,
p_1775381938,1391.4298977377407,2730.0749524455687,,,DEPLOYABLES,Deployables,,武器コンテナ,"[{""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""FOOT_LCOKER"", ""item_name_jp"": ""フットロッカー"", ""item_name_en"": ""Foot Lcoker"", ""qty"": ""1"", ""attributes"": {""special_rule_enabled_1"": true}}, {""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""WEAPON_CASE"", ""item_name_jp"": ""ウェポンケース"", ""item_name_en"": ""Weapon Case"", ""qty"": ""1"", ""attributes"": {""special_rule_enabled_1"": true}}]",3,DEPLOYABLES,,,,2026-04-14T18:35:55,,,
p_1775382025,1342.9321485579742,2879.319407103749,リヨンマウンテン消防署,Lyon Mountain Fire Department,POI,POI,,建物,"[{""cat_id"": ""BUILDING"", ""category"": ""建物"", ""cat_name_en"": ""Building"", ""item_id"": ""PUBLIC_BUILDING"", ""item_name_jp"": ""公共施設"", ""item_name_en"": ""Public Building"", ""qty"": """", ""item_qty"": """", ""attributes"": {}}]",3,POI,,,,2026-04-10T10:15:11,,,
p_1775382452,1493.5163200443224,2918.9750252175904,,,DEPLOYABLES,Deployables,,武器コンテナ,"[{""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""WEAPON_CASE"", ""item_name_jp"": ""ウェポンケース"", ""item_name_en"": ""Weapon Case"", ""qty"": ""1"", ""attributes"": {""special_rule_enabled_1"": true}}]",1,DEPLOYABLES,,,,2026-04-14T18:34:48,,,
p_1775382509,1637.6698507554536,2880.9270672975517,UH-60 Grey Eagle墜落現場,UH-60 Grey Eagle Crash Site,POI,POI,,,,3,POI,,,,2026-04-11T21:58:58,,,
p_1775382580,1648.6194603364336,2899.1378028648414,,,DEPLOYABLES,Deployables,,武器コンテナ,"[{""cat_id"": ""LOOT_CONTAINER"", ""category"": ""武器コンテナ"", ""cat_name_en"": ""Weapon Container"", ""item_id"": ""MILITARY_CRRATE"", ""item_name_jp"": ""軍用クレート"", ""item_name_en"": ""Military Crate"", ""qty"": ""2"", ""attributes"": {""special_rule_enabled_1"": true}}]",3,DEPLOYABLES,,,,2026-04-14T18:34:43,,,
p_1775382614,1507.1981040991243,3011.214227682909,デッドエアデプス,Dead Air Depth,POI,POI,,地形,"[{""cat_id"": ""TERRAIN"", ""category"": ""地形"", ""cat_name_en"": ""Terrain"", ""item_id"": ""CAVE"", ""item_name_jp"": ""洞窟"", ""item_name_en"": ""Cave"", ""qty"": """", ""item_qty"": """", ""attributes"": {}}]",3,POI,,,,2026-04-10T10:25:06,,,
p_1775382645,1502.2483566308185,3023.9421497442668,ジ・エーペックス,The Apex,POI,POI,,地形,"[{""cat_id"": ""TERRAIN"", ""category"": ""地形"", ""cat_name_en"": ""Terrain"", ""item_id"": ""CAVE"", ""item_name_jp"": ""洞窟"", ""item_name_en"": ""Cave"", ""qty"": """", ""item_qty"": """", ""attributes"": {}}]",3,POI,,,,2026-04-10T10:25:26,,,
p_1775437552,1343.1785549593026,3114.795365762636,,,DEPLOYABLES,Deployables,,ツール,"[{""cat_id"": ""TOOL"", ""category"": ""ツール"", ""cat_name_en"": ""Tool"", ""item_id"": ""IMPROVED_PICKAXE"", ""item_name_jp"": ""改良されたつるはし"", ""item_name_en"": ""Improved Pickaxe"", ""qty"": ""1"", ""attributes"": {}}]",3,DEPLOYABLES,,,,2026-04-13T15:12:10,,,
